date,price,sma,signal,trend_following,buy_and_hold
2022-09-23,350.2196960449219,399.20229583740235,0,94211.42424221234,85722.7749710202
2022-09-26,346.7550354003906,398.73490264892575,0,94211.42424221234,84874.73493176438
2022-09-27,345.8699035644531,398.27794555664065,0,94211.42424221234,84658.08247603834
2022-09-28,352.67529296875,397.83443420410157,0,94211.42424221234,86323.827924061
2022-09-29,345.30828857421875,397.37363708496093,0,94211.42424221234,84520.61677673046
2022-09-30,339.9685974121094,396.90119064331054,0,94211.42424221234,83213.62819478178
2022-10-03,348.9442749023437,396.43968017578123,0,94211.42424221234,85410.59195894745
2022-10-04,359.7568359375,396.05168838500975,0,94211.42424221234,88057.16708577366
2022-10-05,358.9192810058594,395.68278228759766,0,94211.42424221234,87852.15996098395
2022-10-06,355.2167053222656,395.31836883544923,0,94211.42424221234,86945.8857973025
2022-10-07,345.30828857421875,394.86640060424804,0,94211.42424221234,84520.61677673046
2022-10-10,342.6717834472656,394.37946701049805,0,94211.42424221234,83875.28318110437
2022-10-11,340.5016174316406,393.86799240112305,0,94211.42424221234,83344.09474393744
2022-10-12,339.3785095214844,393.3195698547363,0,94211.42424221234,83069.19322429776
2022-10-13,348.3350524902344,392.81776473999025,0,94211.42424221234,85261.47345895923
2022-10-14,340.3968811035156,392.2733987426758,0,94211.42424221234,83318.4585824407
2022-10-17,349.14410400390625,391.7789791870117,0,94211.42424221234,85459.5038428288
2022-10-18,353.2463684082031,391.3107162475586,0,94211.42424221234,86463.60924401692
2022-10-19,350.7431335449219,390.81699966430665,0,94211.42424221234,85850.89602055175
2022-10-20,347.8020935058594,390.3093305969238,0,94211.42424221234,85131.02184929162
2022-10-21,356.2541809082031,389.88706283569337,0,94211.42424221234,87199.82721520563
2022-10-24,360.6133728027344,389.4886610412598,0,94211.42424221234,88266.82039134746
2022-10-25,366.3719177246094,389.1277555847168,0,94211.42424221234,89676.33121005105
2022-10-26,363.6116943359375,388.7557778930664,0,94211.42424221234,89000.71527214414
2022-10-27,361.66998291015625,388.3541441345215,0,94211.42424221234,88525.4453387548
2022-10-28,370.2743835449219,387.98955780029297,0,94211.42424221234,90631.53219710187
2022-10-31,367.5997314453125,387.6421307373047,0,94211.42424221234,89976.86142144346
2022-11-01,365.9911804199219,387.2857669067383,0,94211.42424221234,89583.13868358443
2022-11-02,356.8062438964844,386.9221975708008,0,94211.42424221234,87334.95488463342
2022-11-03,353.1322631835937,386.56255798339845,0,94211.42424221234,86435.6798711042
2022-11-04,358.21484375,386.2518539428711,0,94211.42424221234,87679.73585963502
2022-11-07,361.6414184570313,385.9995420837402,0,94211.42424221234,88518.4536583466
2022-11-08,363.5926513671875,385.7482357788086,0,94211.42424221234,88996.054151872
2022-11-09,356.10186767578125,385.48473968505857,0,94211.42424221234,87162.54572277256
2022-11-10,375.6711120605469,385.3242175292969,0,94211.42424221234,91952.48173063487
2022-11-11,379.30706787109375,385.1919430541992,0,94211.42424221234,92842.44944310786
2022-11-14,376.0804443359375,384.9931492614746,0,94211.42424221234,92052.67340725372
2022-11-15,379.2879943847656,384.77294464111327,0,94211.42424221234,92837.7808530917
2022-11-16,376.3945617675781,384.5239707946777,0,94211.42424221234,92129.5594825119
2022-11-17,375.2427978515625,384.2485383605957,0,94211.42424221234,91847.64387323194
2022-11-18,376.9466552734375,384.03219940185545,0,94211.42424221234,92264.69462168372
2022-11-21,375.5759582519531,383.79912673950196,0,94211.42424221234,91929.19106876224
2022-11-22,380.6300964355469,383.59809967041014,0,94211.42424221234,93166.28525586094
2022-11-23,383.0287170410156,383.3917527770996,0,94211.42424221234,93753.39219680545
2022-11-25,382.9429931640625,383.153927154541,0,94211.42424221234,93732.40968583681
2022-11-28,376.8323364257813,382.92421981811526,0,94211.42424221234,92236.71296056287
2022-11-29,376.18505859375,382.73295883178713,0,94211.42424221234,92078.27968977437
2022-11-30,388.0351867675781,382.607723236084,0,94211.42424221234,94978.81864373577
2022-12-01,387.7496032714844,382.447751159668,1,94202.00404180815,94908.91677914177
2022-12-02,387.3022766113281,382.2831903076172,1,94093.32806253566,94799.42527121073
2022-12-05,380.3350830078125,382.1286750793457,1,92400.6800379833,93094.07524036296
2022-12-06,374.8525695800781,381.9600614929199,0,91059.6214423873,91752.12825637327
2022-12-07,374.21484375,381.81018295288084,0,91059.6214423873,91596.03301546488
2022-12-08,377.1464538574219,381.7108110046387,0,91059.6214423873,92313.59903582103
2022-12-09,374.3291015625,381.56747817993164,0,91059.6214423873,91623.99973709769
2022-12-12,379.7259216308594,381.40667114257815,0,91059.6214423873,92944.97167986278
2022-12-13,382.600341796875,381.26550521850584,0,91059.6214423873,93648.53939991446
2022-12-14,380.1541748046875,381.14339416503907,1,91050.51639074823,93049.79459777767
2022-12-15,370.85498046875,380.93757415771483,0,88814.38916555191,90773.64407719385
2022-12-16,366.47662353515625,380.72011810302735,0,88814.38916555191,89701.95990180377
2022-12-19,363.3690185546875,380.5037783813477,0,88814.38916555191,88941.3158676505
2022-12-20,363.8662414550781,380.3498609924316,0,88814.38916555191,89063.02040706383
2022-12-21,369.3069763183594,380.2381080627441,0,88814.38916555191,90394.74131148212
2022-12-22,364.038330078125,380.047508392334,0,88814.38916555191,89105.14229362566
2022-12-23,366.1324157714844,379.8764595031738,0,88814.38916555191,89617.70865893611
2022-12-27,364.6885681152344,379.7236428833008,0,88814.38916555191,89264.30012958463
2022-12-28,360.1562194824219,379.5626078796387,0,88814.38916555191,88154.92362584008
2022-12-29,366.63916015625,379.3908464050293,0,88814.38916555191,89741.7437584855
